timestamp,TargetJointPos_0,TargetJointPos_1,TargetJointPos_2,TargetJointPos_3,TargetJointPos_4,TargetJointPos_5,JointPos_0,JointPos_1,JointPos_2,JointPos_3,JointPos_4,JointPos_5
     1200512000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
     1200522000,   3.1e-05,  0.000125,  -4.5e-05,     3e-06,   6.3e-05,    -6e-06,         0,         0,         0,         0,         0,         0
     1200532000,  0.000166,   0.00068, -0.000243,   1.5e-05,   0.00034,  -3.2e-05,         0,  0.000259,         0,         0,         0,         0
     1200542000,  0.000436,  0.001791, -0.000639,     4e-05,  0.000895,  -8.4e-05,         0,  0.001034, -0.000259,         0,         0,         0
     1200552000,  0.000866,  0.003556, -0.001269,   7.9e-05,  0.001777, -0.000167,  0.000259,   0.00181, -0.000517,         0,  0.000517,         0
     1200562000,  0.001474,   0.00605, -0.002159,  0.000135,  0.003023, -0.000285,  0.000517,  0.003621, -0.001034,         0,  0.001034,         0
     1200572000,  0.002274,  0.009335, -0.003331,  0.000208,  0.004665, -0.000439,  0.000517,  0.006207,  -0.00181,         0,  0.002069,         0
     1200582000,   0.00328,  0.013462, -0.004803,  0.000299,  0.006727, -0.000633,  0.001034,  0.009569, -0.002845,         0,  0.003103, -0.000862
     1200592000,    0.0045,  0.018471,  -0.00659,  0.000411,   0.00923, -0.000869,  0.001552,  0.014224, -0.003879,         0,  0.004655, -0.000862
     1200602000,  0.005944,  0.024396, -0.008704,  0.000543,  0.012191, -0.001148,  0.002328,  0.019397,  -0.00569,         0,  0.006724,         0
     1200612000,  0.007618,  0.031269, -0.011156,  0.000696,  0.015625, -0.001471,  0.003103,  0.026121, -0.007759,  0.000517,  0.009828, -0.000862
     1200622000,  0.009528,  0.039107, -0.013952,   0.00087,  0.019542,  -0.00184,  0.004397,  0.034138, -0.010603,  0.000517,  0.012931, -0.000862
     1200632000,   0.01167,  0.047901, -0.017089,  0.001066,  0.023937, -0.002254,  0.006207,  0.043966, -0.013448,  0.000517,  0.017586, -0.000862
     1200642000,  0.014038,   0.05762, -0.020557,  0.001282,  0.028793, -0.002711,  0.008276,  0.054569, -0.017069,  0.000517,  0.023276, -0.000862
     1200652000,  0.016624,  0.068233, -0.024343,  0.001518,  0.034097, -0.003211,  0.010862,  0.066207,  -0.02069,  0.001034,  0.029483, -0.000862
     1200662000,  0.019418,    0.0797, -0.028434,  0.001773,  0.039827, -0.003751,  0.013707,  0.078103, -0.025086,  0.001034,  0.036724, -0.001724
     1200672000,  0.022408,  0.091975, -0.032814,  0.002046,  0.045961, -0.004328,   0.01681,  0.090259, -0.029741,  0.001552,  0.044483, -0.001724
     1200682000,  0.025581,  0.104998,  -0.03746,  0.002336,  0.052469, -0.004941,  0.020172,  0.102931, -0.034655,  0.001552,   0.05069, -0.002586
     1200692000,   0.02892,    0.1187, -0.042348,  0.002641,  0.059316, -0.005586,  0.024052,  0.116897, -0.039828,  0.001552,  0.056897, -0.002586
     1200702000,  0.032401,   0.13299, -0.047446,  0.002958,  0.066457, -0.006258,  0.027931,  0.131897, -0.045259,  0.002069,  0.064655, -0.003448
     1200712000,  0.035998,  0.147753, -0.052714,  0.003287,  0.073834, -0.006953,  0.032069,  0.147155,  -0.05069,  0.002586,  0.072414,  -0.00431
     1200722000,  0.039652,   0.16275, -0.058064,   0.00362,  0.081328, -0.007659,  0.036207,  0.161897, -0.056121,  0.002586,  0.080172,  -0.00431
     1200732000,  0.043306,   0.17775, -0.063415,  0.003954,  0.088824, -0.008365,  0.040345,  0.176121, -0.061293,  0.003103,  0.087414, -0.005172
     1200742000,  0.046961,   0.19275, -0.068767,  0.004288,   0.09632,  -0.00907,  0.044483,  0.190862, -0.066724,  0.003621,  0.095172, -0.006034
     1200752000,  0.050615,   0.20775, -0.074118,  0.004621,  0.103815, -0.009776,  0.048621,  0.206121, -0.071897,  0.003621,  0.102931, -0.006897
     1200762000,   0.05427,   0.22275,  -0.07947,  0.004955,  0.111311, -0.010482,  0.052241,  0.221638, -0.077328,  0.004138,  0.111207, -0.007759
     1200772000,  0.057924,   0.23775, -0.084821,  0.005289,  0.118807, -0.011188,  0.055862,  0.236379,   -0.0825,  0.004655,  0.118966, -0.008621
     1200782000,  0.061579,   0.25275, -0.090173,  0.005622,  0.126302, -0.011894,  0.059483,  0.250603, -0.088448,  0.005172,   0.12569, -0.009483
     1200792000,  0.065233,   0.26775, -0.095525,  0.005956,  0.133798,   -0.0126,  0.063103,  0.265345, -0.094138,   0.00569,  0.133966, -0.009483
     1200802000,  0.068888,   0.28275, -0.100876,   0.00629,  0.141294, -0.013306,  0.066724,  0.281121, -0.100086,   0.00569,  0.141724, -0.011207
     1200812000,  0.072542,   0.29775, -0.106228,  0.006624,   0.14879, -0.014012,  0.070086,  0.296897, -0.106293,  0.006207,  0.149483, -0.012069
     1200822000,  0.076197,   0.31275, -0.111579,  0.006957,  0.156285, -0.014717,  0.073707,  0.311897, -0.112241,  0.006724,  0.156724, -0.013793
     1200832000,  0.079852,   0.32775, -0.116931,  0.007291,  0.163781, -0.015423,  0.077069,  0.326638, -0.117931,  0.007241,  0.164483, -0.014655
     1200842000,  0.083506,   0.34275, -0.122282,  0.007625,  0.171277, -0.016129,   0.08069,  0.341638, -0.123621,  0.007241,  0.171724, -0.014655
     1200852000,  0.087161,   0.35775, -0.127634,  0.007958,  0.178772, -0.016835,   0.08431,  0.357155, -0.129052,  0.007759,  0.179483, -0.015517
     1200862000,  0.090815,   0.37275, -0.132985,  0.008292,  0.186268, -0.017541,  0.087931,  0.372931, -0.134224,  0.008276,  0.186724, -0.016379
     1200872000,   0.09447,   0.38775, -0.138337,  0.008626,  0.193764, -0.018247,   0.09181,  0.387931, -0.139138,  0.008276,  0.194483, -0.017241
